Name,ID,Image URL,Image URL Hi,Price,Sale Price,Euro Price,Euro Sale Price,New Item,Position,Category Name,Description,Colors,Sizes
Backpack,307053,d17ol771963kd3.cloudfront.net/247174/ca/bUyu4-Ypoqs.jpg,assets.supremenewyork.com/247174/rc/bUyu4-Ypoqs.jpg,138.00,0.00,158.00,0.00,False,53,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with single layer laptop sleeve. Front zip compartment with interior velcro mesh pocket. Additional front zip pockets and elastic mesh side pockets. Padded mesh back panel and adjustable shoulder straps with buckle closure. Woven logo webbing at straps and front with webbing handle. Woven logo label at lower front. 22L. ,"Silver,Red,Olive,Black",N/A
Large Haul Tote,307009,d17ol771963kd3.cloudfront.net/247147/ca/SvcqKbLfKfk.jpg,assets.supremenewyork.com/247147/rc/SvcqKbLfKfk.jpg,128.00,0.00,148.00,0.00,False,54,Bags,"Water resistant Cordura® recycled nylon with embossed logo lining. Open top main compartment with buckle closure. Additional pouch pocket at front. Adjustable shoulder strap and woven logo webbing handles at top and sides. Compression straps at sides. Woven logo label at front. 15"" x 25"" x 16"". 80L.","Red,Silver,Black,Olive",N/A
Duffle Bag,307037,d17ol771963kd3.cloudfront.net/247202/ca/c8TEMNnGcPI.jpg,assets.supremenewyork.com/247202/rc/c8TEMNnGcPI.jpg,128.00,0.00,148.00,0.00,False,55,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior zip pocket. Zip cargo pockets at front and zip stash pocket at back. Adjustable shoulder strap. Woven logo webbing with webbing handles at top. Woven logo label at front. 39L.,"Black,Red,Olive,Silver",N/A
Shoulder Bag,307049,d17ol771963kd3.cloudfront.net/247139/ca/3pvpGtOaNBs.jpg,assets.supremenewyork.com/247139/rc/3pvpGtOaNBs.jpg,46.00,0.00,54.00,0.00,False,56,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Additional front zip pocket with interior hanging key clip. Adjustable woven logo webbing shoulder strap. Woven logo webbing at front zip pocket. 2.5L,"Olive,Silver,Black,Red",N/A
Small Waist Bag,307022,d17ol771963kd3.cloudfront.net/247183/ca/6rfNS9XlISI.jpg,assets.supremenewyork.com/247183/rc/6rfNS9XlISI.jpg,42.00,0.00,48.00,0.00,False,57,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Adjustable woven logo webbing waist strap with buckle closure. Woven logo label at front zip pocket. 1L.,"Silver,Black,Olive,Red",N/A
Organizer Pouch Set,307004,d17ol771963kd3.cloudfront.net/247217/ca/XmzY0LHnBgs.jpg,assets.supremenewyork.com/247217/rc/XmzY0LHnBgs.jpg,48.00,0.00,58.00,0.00,False,58,Bags,"Set of three water resistant Cordura® recycled nylon organizer pouches. <br>Small 3.9"" x 7.9"". <br>Medium 8.3"" x 9.8"". <br>Large 11"" x 12.6"".","Black,Red,Silver,Olive",N/A
Supreme®/Independent® Truck,307023,d17ol771963kd3.cloudfront.net/247730/ca/tgjDbiZPJLQ.jpg,assets.supremenewyork.com/247730/rc/tgjDbiZPJLQ.jpg,64.00,0.00,80.00,0.00,False,66,Skate,Classic Independent® truck with custom Supreme art. Each size sold separately as a pair of two trucks. Made exclusively for Supreme.,Silver,"129 ,139 ,149 "
Supreme®/Spitfire® <br>Shop Wheels (Set of 4),307054,d17ol771963kd3.cloudfront.net/247714/ca/rfzWqznnu2k.jpg,assets.supremenewyork.com/247714/rc/rfzWqznnu2k.jpg,32.00,0.00,48.00,0.00,False,67,Skate,Classic Spitfire® wheels with custom Supreme art. Each size sold separately as a set of four wheels. 52mm & 54mm wheels are classic 99D hard urethane. Made exclusively for Supreme.,"Swirl 54mm,White 52mm",54MM
Box Logo T-Shirt Skateboard,307011,d17ol771963kd3.cloudfront.net/247601/ca/kg9xTgvpPJg.jpg,assets.supremenewyork.com/247601/rc/kg9xTgvpPJg.jpg,58.00,0.00,66.00,0.00,False,68,Skate,Supreme skate deck with natural veneer and black top ply. Printed graphic on bottom with printed World Famous and box logo on top. Painted by Robby Rose. ,"White - 8.5"" x 32""",8 1/2
Elephant Skateboard,307039,d17ol771963kd3.cloudfront.net/247598/ca/TOAHC_FXe78.jpg,assets.supremenewyork.com/247598/rc/TOAHC_FXe78.jpg,58.00,0.00,66.00,0.00,False,69,Skate,Supreme skate deck with natural veneer and black top ply. Printed logo on bottom with printed World Famous and box logo on top. Original artwork by Shaun Crawford.,"Green - 8.125"" x 32"" ,Black - 8.25"" x 32"" ,White - 8"" x 31.875"" ",8 1/8
